DateTime,Hour,Week number,Operating time,Day of week,Type of day,Month,Dry bulb temperature,Wet bulb temperature,Dew point temperature,Solar irradiance,Ambient temperature,Humidity,UV index,Wind speed,Aggregated AC power
1/1/2018 0:00,0,1,0,1,0,1,24.6,22.1,19.3,0,26.4,55.20833333,0,1.134,0
1/1/2018 1:00,1,1,0,1,0,1,24.8,22.1,19,0,25.75,55.98333333,0,1.4,0
1/1/2018 2:00,2,1,1,1,0,1,23.7,22.1,18.8,0,25.17,55.78833333,0,1.215,0
1/1/2018 3:00,3,1,0,1,0,1,23.5,22.1,18.8,0,24.74,55.53,0,0.805,0
1/1/2018 4:00,4,1,0,1,0,1,22.5,22.1,18.8,0,24.425,55.26666667,0,1.385,0
1/1/2018 5:00,5,1,0,1,0,1,21.6,22.1,18.8,0,24.065,55.26833333,0,0.74,0
1/1/2018 6:00,6,1,0,1,0,1,21.9,22.1,18.8,1.7,23.7,56.48366667,0,0.575,0
1/1/2018 7:00,7,1,5,1,0,1,21.9,22.1,18.8,71.22,23.86,56.655,0.85,0.535,0
1/1/2018 8:00,8,1,4,1,0,1,23.4,22.1,18.8,301.5,25.47,56.055,7.65,1.135,0
1/1/2018 9:00,9,1,5,1,0,1,24.5,22.1,18.8,493.15,27.44,54.832,21.25,1.03,0
1/1/2018 10:00,10,1,5,1,0,1,25.8,22.1,18.8,637.83,28.685,52.799,37.41,2.6,0
1/1/2018 11:00,11,1,6,1,0,1,27.5,22.1,18.8,720.46,29.335,51.19833333,49.9,2.975,0
1/1/2018 12:00,12,1,6,1,0,1,28.1,22.4,19,727.35,30.67,50.269,51.15,2.29,0
1/1/2018 13:00,13,1,6,1,0,1,28.6,22.5,19.2,570.6,32.396,49.38466667,45.15,2.845,0
1/1/2018 14:00,14,1,6,1,0,1,29.2,22.6,19.33333333,535.97,33.963,48.11833333,32.6,2.37,0
1/1/2018 15:00,15,1,7,1,0,1,30.4,23.4,19.46666667,431.4,34.753,47.12,17.7,1.585,0
1/1/2018 16:00,16,1,6,1,0,1,30.3,23.3,19.6,171.9,32.441,47.79833333,5.15,1.38,0
1/1/2018 17:00,17,1,6,1,0,1,29,22.8,19.83333333,29.5,29.425,48.90833333,0.2,1.035,0
1/1/2018 18:00,18,1,3,1,0,1,28,22.5,20.06666667,0,27.952,50.38,0,1.885,0
1/1/2018 19:00,19,1,2,1,0,1,27.2,22.7,20.3,0,27.33,51.99533333,0,1.15,0
1/1/2018 20:00,20,1,1,1,0,1,26.2,22.2,20.26666667,0,27.075,52.67833333,0,1.62,0
1/1/2018 21:00,21,1,0,1,0,1,25.7,22.2,20.23333333,0,26.78,52.95833333,0,1.795,0
1/1/2018 22:00,22,1,0,1,0,1,26.3,22.3,20.2,0,26.49,53.313,0,1.27,0
1/1/2018 23:00,23,1,0,1,0,1,25.1,22,20.2,0,26.245,53.63166667,0,1.535,0
2/1/2018 0:00,0,1,0,2,1,1,25.3,22.1,20.2,0,27.08,72.14,0,0.935,0
2/1/2018 1:00,1,1,0,2,1,1,24.5,21.7,20.2,0,26.75,72.28666667,0,0.115,0
2/1/2018 2:00,2,1,1,2,1,1,24,22,20.26666667,0,26.715,72.6,0,0.425,0
2/1/2018 3:00,3,1,0,2,1,1,23.6,22,20.33333333,0,26.74,72.82833333,0,0.188,0
2/1/2018 4:00,4,1,0,2,1,1,23,22,20.4,0,26.235,73.42833333,0,0.93,0
2/1/2018 5:00,5,1,0,2,1,1,22.1,22,20.36666667,0,25.681,73.79,0,2.73,0
2/1/2018 6:00,6,1,0,2,1,1,21.5,22,20.33333333,1.05,25.24,74.10766667,0,4.705,0
2/1/2018 7:00,7,1,5,2,1,1,22,22,20.3,44.75,25.46,72.91333333,0.5,5.385,0
2/1/2018 8:00,8,1,4,2,1,1,23,22,20,232.35,26.72,70.82333333,6.25,5.01,0
2/1/2018 9:00,9,1,5,2,1,1,25.4,22,19.7,424.6,28.44,68.11,19.9,4.52,1.407954
2/1/2018 10:00,10,1,5,2,1,1,26.8,22,19.4,480.17,29.385,65.69066667,32.29,4.55,0
2/1/2018 11:00,11,1,6,2,1,1,28.2,22.2,19.23333333,363.75,29.685,64.44666667,31.7,4.139,0
2/1/2018 12:00,12,1,6,2,1,1,28.8,22.6,19.06666667,661.75,31.348,62.86066667,48.41,4.265,0
2/1/2018 13:00,13,1,6,2,1,1,29.7,22.7,18.9,433,32.27,59.95533333,37.52,5.093,0
2/1/2018 14:00,14,1,6,2,1,1,29.8,22.8,18.96666667,541.47,33.87,57,32.14,4.469,0.216717966
2/1/2018 15:00,15,1,7,2,1,1,30.2,23.1,19.03333333,261.7,31.81,55.693,15.5,3.994,2.359590508
2/1/2018 16:00,16,1,6,2,1,1,30,22.9,19.1,169.72,30.915,56.17666667,6.65,4.513,0
2/1/2018 17:00,17,1,6,2,1,1,30.5,23.1,19.13333333,56.78,29.875,56.29,0.94,3.981,0
2/1/2018 18:00,18,1,3,2,1,1,29,22.7,19.16666667,2.7,28.97,56.38,0,3.885,0
2/1/2018 19:00,19,1,2,2,1,1,28.3,22.4,19.2,0,28.5,56.80833333,0,2.725,0
2/1/2018 20:00,20,1,1,2,1,1,27.7,22.2,19.23333333,0,28.035,57.415,0,3.05,0
2/1/2018 21:00,21,1,0,2,1,1,28.3,22.3,19.26666667,0,27.555,58.14,0,4.145,0
2/1/2018 22:00,22,1,0,2,1,1,27.8,22.3,19.3,0,26.975,58.775,0,2.928,0
2/1/2018 23:00,23,1,0,2,1,1,27.1,22.6,19.83333333,0,26.54,60.19333333,0,3.22,0
3/1/2018 0:00,0,1,0,3,1,1,26.4,22.7,20.36666667,0,27.585,66.52833333,0,3.026,0
3/1/2018 1:00,1,1,0,3,1,1,26.1,22.7,20.9,0,27.48,67.555,0,1.625,0
3/1/2018 2:00,2,1,1,3,1,1,25.6,22.7,20.93333333,0,27.355,68.22766667,0,1.55,0
